0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1年,1年,1年,1年,2年,2年,2年,2年,3年,3年,3年,3年,4年,4年,4年,4年,5年,5年,5年,5年,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,担当教員,履修上の区分
一般,必修,微分積分III  微分積分III,g0440,学修単位,2,,,,,,,,,,,2,2,,,,,,,,,田所 勇樹,
一般,必修,ライフサイエンス・アースサイエンス  ライフサイエンス・アースサイエンス,g0490,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,"嘉数 祐子,高谷 博史,福地 健一,佐久間 美紀,新任",
一般,必修,物理学III  物理学III,g0500,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,福地 健一,
一般,必修,物理学IV  物理学IV,g0510,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,福地 健一,
一般,必修,化学II  化学II,g0560,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,"佐久間 美紀,栁下 聡介",
一般,必修選択,一般特別セミナー  一般特別セミナー,g0690,履修単位,1,,,,,,,,,1,1,1,1,,,,,,,,,"加藤 達彦,柴田 育子,瀨川 直美,武長 玄次郎,佐野 照和,鈴木 道治,平井 隼人,小川 祐輔",
一般,選択,日本文化論  日本文化論,g0810,履修単位,1,,,,,,,,,集中講義,集中講義,集中講義,集中講義,,,,,,,,,"加藤 達彦,田嶋 彩香",
一般,必修(留学生）,日本語IA  日本語IA,g0820,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,"田嶋 彩香,小高 愛",
一般,必修（留学生）,日本事情IA  日本事情IA,g0850,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,関口 昌由,
一般,必修（留学生）,日本事情IB  日本事情IB,g0880,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,山下 哲,
